track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
1dIWPXMX4kRHj6Dt2DStUQ,1307,4141,507,2455,161684,76,0.571,0.336,0.767,0.0,0.0809,-5.16,0.287,93.421,4,0
4aarlAfLKVCTxUDNgbwhjH,1550,2401,2481,2444,137983,83,0.957,0.00402,0.437,0.0,0.219,-7.882,0.359,130.058,4,0
2Y3USTCETS4xbjJOzT1Icm,254,201,2956,2466,176382,77,0.921,0.217,0.718,0.0,0.189,-3.545,0.299,141.06,4,0
5A4WcRuy0FFEAC5pAK43oa,4885,4145,802,2513,192880,72,0.827,0.253,0.394,0.0,0.12,-10.073,0.559,157.0,4,0
78xj07VVFK5uHTaGPIu13S,1068,1074,1201,2326,187000,76,0.956,0.0593,0.502,0.0,0.238,-5.995,0.213,110.003,4,0
1xMvdOFQaql3EBkHmuh2TK,704,641,2104,2506,156431,77,0.893,0.0754,0.565,0.0,0.0375,-4.74,0.268,81.009,4,0
4W32h2bSybAaTs8YQafHBY,4007,3339,2012,2524,175386,60,0.417,0.0146,0.729,0.0,0.122,-3.445,0.14,110.499,5,0
14JFKtBSqefxfMiKhq6JT8,381,299,1877,2322,179152,76,0.582,0.146,0.868,0.0,0.103,-3.927,0.0522,90.105,4,0
7eQEnXy5vNjPv6aXVl6N26,3617,3091,3179,2444,175772,66,0.765,0.249,0.92,0.0,0.618,-4.362,0.0984,121.011,4,0
24LyKCgvEia1eAPUbuISlk,1839,1624,2027,2410,150889,75,0.796,0.519,0.516,0.0,0.126,-7.891,0.0744,140.012,4,0
5PAvFGse5jjDH9ke8Mae7D,3733,3197,2863,2238,193880,76,0.426,0.107,0.829,0.0,0.317,-2.84,0.0569,180.241,4,0
16ayXVtAftZYobyrNsZUQv,460,362,92,2405,188014,72,0.595,0.36,0.58,0.0,0.0992,-6.482,0.0465,74.99,4,0
4QpWhd7l2NrmGmfw4qGlpa,4848,4107,662,2390,164677,72,0.583,0.143,0.867,0.0,0.0863,-4.17,0.0637,160.096,4,0
7BQE1P0NUalHSvFtrxasx9,4502,3750,2151,2419,180616,72,0.617,0.171,0.704,0.0,0.0924,-7.61,0.0258,91.541,4,0
1kBx9VGumfuvlfqdlAGorE,3030,2684,1196,2410,175280,76,0.689,0.119,0.582,0.00464,0.101,-6.778,0.0236,99.021,4,0
2DINVEELpI3ibUW2EzeDs7,7767,6633,3778,2483,175920,72,0.583,0.131,0.812,0.0,0.201,-4.684,0.0299,89.992,4,0
